timestamp,contributor,consumer_resource_pair,consumer_resource_abbrev,genus,species,ecosystem,interaction_system,consumer_type,speed,speed_units,turning_interval,turning_interval_units,generation_time,generation_time_units,consumption_rate,consumption_rate_units,mortality_rate,mortality_rate_units,consumer_body_size,consumer_body_size_units,consumer_body_mass,consumer_body_mass_units,patch_duration,patch_duration_units,patch_length_scale,patch_length_scale_units,resource_density,resource_density_units,consumer_density,consumer_density_units,resource_body_size,resource_body_size_units,resource_body_mass,resource_body_mass_units,tsearch,tsearch_units,tconsumption,tconsumption_units
1/2/2019 13:35,Sam,Terns - Forage fishes,Te-FF,Sterna,hirundo,Marine,epipelagic,predator,11,m/s,10,s,4,yr,40,fish/bird/d,0.08,yr^-1,34.5,cm,133,g,6,hr,5,km,100,fish/m^2,0.05,bird/m^2,100,mm,3,g,NA,NA,NA,NA
1/2/2019 15:48,Sam,Desert locust - Vegetation,DL-Ve,Schistocerca,gregaria,Terrestrial,grassland,grazer,10,km/hr,2,s,60,d,2,g/locust/d,NA,NA,50,mm,2,g,6,mo,10,m,1000,kg/ha,60000000,locust/km^2,35,cm,0.7,kg,NA,NA,NA,NA
1/3/2019 10:27,Sam,Chimney swifts - Aerial plankton,CS-AP,Chaetura,pelagica,Arial,grassland,predator,11.3,m/s,2,s,2,yr,415,insect/bird/hr,0.2,yr^-1,13.5,cm,23.5,g,1,hr,25,km,0.001,insect/m^3,3.75E-06,bird/m^3,4,mm,2,mg,NA,NA,NA,NA
1/3/2019 11:44,Alli,Tuna - Herring,Tu-He,Thunnus,thynnus,Marine,pelagic,predator,1.63,m/s,1.8,minute,14,yr,24.6,fish/tuna/d,0.14,yr^-1,215,cm,237,kg,12,hr,33,km,10,fish/m^2,0.54,tuna/m^2,300,mm,0.2,kg,NA,NA,NA,NA
1/3/2019 13:37,Alli,White sharks - Seals,WS-Se,Carcharodon,carcharias,Marine,pelagic,predator,1.34,m/s,30,s,12.3,yr,0.25,seal/shark/d,0.18,yr^-1,4,m,600,kg,5,minute,70,m,8,seal/patch,1,shark/patch,192,cm,100,kg,NA,NA,NA,NA
1/8/2019 13:09,Tanya,Green crabs - Cockles,GC-Co,Carcinus,maenas,Marine,benthic,predator,0.54,cm/s,3.2,s,3,yr,6.5,cockle/crab/d,NA,NA,15,mm,1,g,2.5,mo,200,m,10000,cockle/m^2,25,crab/m^2,0.75,mm,0.1,mg,NA,NA,NA,NA
1/8/2019 13:18,Tanya,Northern sea stars - Mussels,NSS-Mu,Asterias,vulgaris,Marine,benthic,predator,5,cm/minute,10,minute,2,yr,2,mussel/seastar/d,NA,NA,15,cm,60,g,7,yr,40,m,3000,mussel/m^2,5.5,seastar/m^2,3,cm,2.3,g,NA,NA,1,yr
1/8/2019 13:26,Tanya,Spider monkeys - Fruit trees,SM-FT,Ateles,geoffroyi,Terrestrial,tropical rain forest,grazer,4.8,m/minute,5,minute,6.5,yr,NA,NA,NA,NA,47,cm,7.7,kg,7,d,45.8,m,NA,NA,NA,NA,2.5,cm,8,g,703,s,810,s
1/8/2019 13:33,Tanya,Murres - Zooplankton/fish,Mu-Zo,Uria,sp.,Marine,epipelagic,predator,20.9,m/s,1,minute,4,yr,700,fish/bird/d,0.13,yr^-1,45,cm,0.9,kg,8,hr,55,km,75,fish/m^2,26,bird/km^2,2.5,cm,150,mg,NA,NA,NA,NA
1/8/2019 13:42,Tanya,Bone worms - Whale falls,BW-WF,Osedax,sp.,Marine,benthic,detritovore,10,cm/s,80000,s,2,mo,NA,NA,NA,NA,2,cm,0.15,g,1500,yr,10,km,NA,NA,10,worm/cm^2,13,m,30000,kg,NA,NA,10,yr
1/10/2019 17:05,Sam,Red knots - Cockles,RK-Co,Calidris,canutus,Marine,intertidal,predator,20,m/s,40,s,2,yr,0.4,mg/bird/s,NA,NA,24,cm,125,g,6,hr,10,km,2,g/m^2,0.0001,bird/m^2,7,mm,90,mg,NA,NA,NA,NA
1/11/2019 7:57,Sam,Red knots - Clams,RK-Cl,Calidris,canutus,Marine,intertidal,predator,20,m/s,40,s,2,yr,0.4,mg/bird/s,NA,NA,24,cm,125,g,6,hr,1,km,1,g/m^2,0.0001,bird/m^2,8,mm,135,mg,NA,NA,NA,NA
1/14/2019 10:34,Celia,Penguin - Fish school,Pe-FS,Eudyptula,minor,Marine,pelagic,predator,1.1,m/s,1,minute,2.5,yr,192.39,g/bird/d,0.25,yr^-1,43,cm,1060,g,14,hr,250,m,18,kg/m^3,0.0001,bird/m^3,17,cm,60,g,NA,NA,NA,NA
1/14/2019 15:17,Celia,Elk - Forest patch,El-FP,Cervus,elaphus,Terrestrial,temperate,grazer,759,m/hr,3,minute,5.7,yr,989,g/elk/d,0.05,yr^-1,2.1,m,175,kg,355,yr,427,m,245,g/m^2,0.625,elk/km^2,16,m,290,kg,NA,NA,NA,NA
1/15/2019 17:19,Sam,Fur seals - Pollock,FS-Po,Callorhinus,ursinus,Marine,pelagic,predator,3.5,m/s,1,minute,4,yr,3,kg/seal/d,NA,NA,2,m,120,kg,12,hr,300,m,3,kg/superpatch,2,seal/superpatch,10,cm,10,g,NA,NA,NA,NA
1/16/2019 10:44,Celia,Dung beetle - Dung,DB-Du,Circellium,bacchus,Terrestrial,grassland,detritovore,0.05,m/s,8,s,6,mo,0.91,g/beetle/minute,0.1,yr^-1,36,mm,6.1,g,14.4,wk,32,m,5620,g/turd,1,beetle/turd,25,cm,5620,g,NA,NA,NA,NA
1/17/2019 11:45,Celia,Caterpillar - Kale plants,Ca-Ka,Pieris,rapae,Terrestrial,temperate,grazer,0.2,cm/s,6,minute,32,d,0.405,g/caterpillar/minute,NA,NA,30,mm,135,mg,5,mo,1,m,100,g/plant,100,caterpillar/plant,40,cm,0.9,kg,NA,NA,NA,NA
1/22/2019 12:52,Jenna,Eastern gray squirrel - Acorn,Sq-Ac,Sciurus,carolinensis,Terrestrial,deciduous forest,granivore,50,cm/s,10,s,1.25,yr,0.00605,acorn/squirrel/s,0.3,yr^-1,26,cm,500,g,3,mo,8.3,m,1000,nut/tree,0.03,squirrel/tree,26,mm,6,g,NA,NA,25275.6,s
1/23/2019 9:36,Sam,Ctenophores - Copepods,Ct-Co,Bolinopsis,spp.,Marine,epipelagic,predator,0.7,cm/s,10,s,7.75,d,10,copepod/ctenophore/hr,NA,NA,4,cm,10,g,5,d,4,km,20000,copepod/m^3,50,ctenophore/m^3,1,mm,5.00E-05,g,NA,NA,NA,NA
1/23/2019 10:41,Sam,Copepods - Phytoplankton layers,Co-Ph,Acartia,tonsa,Marine,epipelagic,grazer,1.42,mm/s,1.25,s,20,d,40000,cell/copepod/d,NA,NA,1,mm,5.00E-05,g,7,d,4,km,1000,cell/mL,20000,ctenophore/m^3,0.1,mm,3.00E-09,g,NA,NA,NA,NA
1/23/2019 16:39,Celia,Caddisfly - Periphyton,Ca-Pe,Dicosmoecus,gilvipes,Freshwater (riverine),lentic,grazer,50,cm/minute,15,s,1,yr,3.30E-07,g/caddisfly/hr,0.008,wk^-1,2,cm,0.14,g,122,d,19,cm,1.23E-05,g/cm^2,70,caddisfly/m^2,1.00E-04,m,40,g,NA,NA,NA,NA
1/25/2019 16:26,Sam,Fruit flies - Marula fruit,FF-Ma,Drosophila,melanogaster,Terrestrial,grassland,detritovore,30,cm/s,1,s,15,d,2.00E-06,g/fly/d,NA,NA,2.5,mm,1,mg,3,mo,146,m,14,kg/tree,10000,fly/tree,37,mm,25,g,NA,NA,NA,NA
1/28/2019 15:12,Jenna,Pisaster sea star- Mussels,Pi-Mu,Pisaster,ochraceus,Marine,intertidal,predator,1.67,m/hr,10,minute,6,yr,80,mussel/seastar/yr,0.8,yr^-1,20,cm,192,g,9,yr,250,m,250,mussel/m^2,16.5,seastar/m^2,60,mm,30,g,NA,NA,NA,NA
1/31/2019 23:05,Alli,Beaver - Maple tree,Be-M5,Castor,Canadensis,Terrestrial,riparian,grazer,28,m/minute,1,minute,5.4,yr,0.00667,tree/beaver/s,0.3,yr^-1,65,cm,21,kg,2.2243,yr,50,m,0.18,tree/m^2,2.6,beaver/km^2,7.7,m,13,kg,70,s,NA,NA
1/31/2019 23:26,Alli,Killer whale - Chinook salmon,Or-Ch,Orcinus,orca,Marine,pelagic,predator,1.6,m/s,1,minute,24,yr,7,fish/whale/minute,0.03,yr^-1,8,m,5000,kg,20,minute,500,m,0.05,fish/m^3,1.20E-06,whale/m^3,70,cm,10,kg,NA,NA,NA,NA
2/4/2019 14:11,Celia,Beach mouse - Dune seeds,BM-DV,Peromyscus,polionotus leucocephalus,Terrestrial,terrestrial,granivore,11.4,km/hr,1,s,26,d,14,seed/mouse/d,0.805,yr^-1,139,mm,12.5,g,100,yr,15,m,270,seed/m^2,8,mouse/ha,3,mm,0.0042,g,NA,NA,NA,NA
3/1/2019 12:15,Sam,Pseudoalteromonas - Nutrients,Bac-Nu,Pseudoalteromonas,haloplanktis,Marine,epipelagic,detritovore,8.70E-05,m/s,0.25,s,3,hr,NA,NA,NA,NA,0.0024,mm,7.30E-18,g,15,minute,4,cm,0.000567,mol/L,10000,bacteria/mL,1.00E-10,m,1.00E-22,g,NA,NA,15,minute
3/4/2019 17:41,Jenna,Wolf - Moose,Wo-Mo,Canis,Lupus,Terrestrial,temperate,predator,0.4,km/hr,60,minute,22,mo,NA,NA,0.23,yr^-1,1,m,42.6,kg,16,yr,53.2,km,0.2,moose/km^2,0.0035,wolf/km^2,2.8,m,400,kg,5.6,d,4,d
3/7/2019 16:52,Sam,Mongolian gazelle - Vegetation,MG-Ve,Procapra,gutturosa,Terrestrial,grassland,grazer,8.2,km/d,1,d,2,yr,5,g/gazelle/minute,NA,NA,1.5,m,28,kg,30,d,20,km,20,g/m^2,281,gazelle/km^2,60,cm,7,g,NA,NA,NA,NA
11/19/2018 2:17,Simon,Bosmina - Diatoms,Bo-Di,Bosmina,propinqua,Freshwater (lake),pelagic,grazer,0.8,mm/s,6.7,s,12.5,hr,168,cell/cladoceran/d,NA,NA,0.5,mm,2.00E-05,g,1,d,1,km,21,cell/mL,252,cladoceran/m^3,0.0001,m,5.00E-09,g,NA,NA,NA,NA
7/30/2019 16:34,Sam,Trout - Zooplankton,Tr-Zo,Oncoryncus,mykiss,Freshwater (lake),pelagic,predator,30,cm/s,7,s,4,yr,0.02,g/fish/s,NA,NA,20,cm,90,g,3,hr,1,km,50,g/m^3,0.0035,fish/m^3,1,mm,0.0005,g,NA,NA,NA,NA
1/24/2021 18:24,Sam,Vibrio - Nutrients,Vb-Nu,Vibrio,ordalii,Marine,epipelagic,detritovore,0.01,mm/s,4,s,5,hr,20000,molecule/bacteria/s,NA,NA,0.0005,mm,6.50E-20,g,100,minute,1,mm,3.00E+20,molecule/mL,5290,bacteria/mm^3,1,nm,1.00E-22,g,NA,NA,NA,NA
2/3/2021 23:02,Sam,Blue whale - Krill,Bw-Kr,Balaenoptera,musculus,Marine,epipelagic,predator,3.7,km/hr,400,s,10,yr,105,kg/whale/minute,NA,NA,22,m,90909,kg,6,hr,7,km,1,kg/m^2,0.021,whale/km^2,20,mm,35,mg,NA,NA,NA,NA
